ranking,club name,country,point score,1 year change
1122,Shooting Stars,Nigeria,1333.0,65.0
1807,Shooting Stars,Zimbabwe,1270.0,9.0
2432,Sigui,Mali,1226.0,29.0
971,Simba SC,Tanzania,1351.0,19.0
472,Smouha SC,Egypt,1441.0,92.0
954,SO Armée,Ivory Coast,1353.0,84.0
1417,Sofapaka,Kenya,1302.0,1.0
1687,Sogakope WAFA,Ghana,1281.0,54.0
1984,SOL FC,Ivory Coast,1258.0,113.0
2524,Sport Lubango e Benfica,Angola,1218.0,27.0
1400,Sportif de Chebba,Tunisia,1303.0,62.0
2662,Sporting Clube de Benguela,Angola,1195.0,556.0
2584,Sporting de Cabinda,Angola,1210.0,25.0
1001,Sporting Gagnoa,Ivory Coast,1346.0,234.0
2297,Sportive de Djerba,Tunisia,1238.0,44.0
1831,St. George,Ethiopia,1268.0,12.0
1684,Stade d'Abidjan,Ivory Coast,1281.0,7.0
1166,Stade Gabésien,Tunisia,1328.0,6.0
312,Stade Malien Bamako,Mali,1490.0,7.0
2546,Stade Malien Sikasso,Mali,1216.0,23.0
876,Stade Renard de Melong,Cameroon,1363.0,6.0
1172,Stade Tunisien,Tunisia,1328.0,4.0
1307,Stella Club,Ivory Coast,1313.0,173.0
898,Stellenbosch FC,South Africa,1360.0,467.0
866,Sunshine Stars,Nigeria,1364.0,344.0
717,Supersport United,South Africa,1389.0,69.0
2511,Tanta,Egypt,1220.0,29.0
1554,Taraba,Nigeria,1291.0,25.0
1342,Telephonaat Beni Suef,Egypt,1309.0,0.0
1941,Tema Youth,Ghana,1260.0,2.0
2255,Tenax CS FC,Zimbabwe,1241.0,149.0
2029,Teungueth FC,Senegal,1255.0,1.0
1005,Tiko United,Cameroon,1346.0,3.0
2182,Togo-Port,Uganda,1246.0,44.0
2412,Tonnerre Kalara Club,Cameroon,1228.0,197.0
2125,Township Rollers,Botswana,1249.0,46.0
1244,Triangle FC,Zimbabwe,1320.0,67.0
2407,Tripple B,Zimbabwe,1229.0,30.0
1639,TS Galaxy,South Africa,1285.0,260.0
2076,Tsholotsho,Zimbabwe,1252.0,1.0
705,UMS de Loum,Cameroon,1391.0,133.0
2203,Underhill,Zimbabwe,1245.0,39.0
2150,Uniao Sport Clube do Uige,Angola,1248.0,41.0
1330,Union Douala,Cameroon,1311.0,300.0
747,Union Sportive de Douala,Cameroon,1384.0,14.0
852,Unisport FC Du Haut-Nkam,Cameroon,1367.0,11.0
1263,Université Ngaoundéré,Cameroon,1318.0,4.0
1768,Urana,Niger,1273.0,1.0
1040,US Biskra,Algeria,1342.0,565.0
653,US Monastir,Tunisia,1400.0,123.0
1173,US Tataouine,Tunisia,1328.0,167.0
1551,Usc Bassam,Ivory Coast,1291.0,77.0
1657,USFAS Bamako,Mali,1283.0,14.0
2066,USGN,Niger,1252.0,1.0
414,USM Alger,Algeria,1459.0,146.0
1651,USM Bel Abbès,Algeria,1284.0,108.0
1841,USM Blida,Algeria,1268.0,10.0
1215,USM El Harrach,Algeria,1324.0,9.0
2453,Victoria,Zimbabwe,1225.0,26.0
2659,WA Tlemcen,Algeria,1196.0,907.0
2151,Wad Hashim SC Sennar,Sudan,1248.0,41.0
1420,Wadi Degla FC,Egypt,1302.0,252.0
1060,Warri Wolves FC,Nigeria,1340.0,76.0
2262,Wassaman United,Ghana,1241.0,38.0
2514,WhaWha,Zimbabwe,1219.0,121.0
1028,Wikki Tourist,Nigeria,1343.0,152.0
1819,Wiliete SC,Angola,1269.0,142.0
